IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
17,10.215.173.1,42895,10.215.173.2,53,10340,Ditto,com.ditto.mobile,DNS,Closed,graph.accountkit.com,66,118,1,1,2026-06-19T16:10:08.871+03:00,2026-06-19T16:10:08.974+03:00
17,10.215.173.1,2547,10.215.173.2,53,10340,Ditto,com.ditto.mobile,DNS,Closed,graph.facebook.com,64,116,1,1,2026-06-19T16:10:08.875+03:00,2026-06-19T16:10:08.975+03:00
6,10.215.173.1,56746,102.132.97.18,443,10340,Ditto,com.ditto.mobile,HTTPS,Closed,graph.facebook.com,2999,8833,18,17,2026-06-19T16:10:08.979+03:00,2026-06-19T16:10:52.913+03:00
6,10.215.173.1,56748,102.132.97.18,443,10340,Ditto,com.ditto.mobile,HTTPS,Closed,graph.facebook.com,2525,6719,15,15,2026-06-19T16:10:08.982+03:00,2026-06-19T16:11:16.717+03:00
6,10.215.173.1,56750,102.132.97.18,443,10340,Ditto,com.ditto.mobile,HTTPS,Closed,graph.accountkit.com,985,3613,9,8,2026-06-19T16:10:08.984+03:00,2026-06-19T16:10:09.556+03:00
6,10.215.173.1,59664,119.29.29.88,80,10340,Ditto,com.ditto.mobile,HTTP,Closed,,409,441,5,5,2026-06-19T16:10:09.003+03:00,2026-06-19T16:10:10.033+03:00
17,10.215.173.1,43751,10.215.173.2,53,10340,Ditto,com.ditto.mobile,DNS,Closed,tools.hulekeji.com,64,80,1,1,2026-06-19T16:10:09.011+03:00,2026-06-19T16:10:09.169+03:00
17,10.215.173.1,54901,10.215.173.2,53,10340,Ditto,com.ditto.mobile,DNS,Closed,abt-online.netease.im,67,168,1,1,2026-06-19T16:10:09.114+03:00,2026-06-19T16:10:09.344+03:00
6,10.215.173.1,48216,162.62.219.35,30561,10340,Ditto,com.ditto.mobile,TCP,Closed,tools.hulekeji.com,300,40,5,1,2026-06-19T16:10:09.173+03:00,2026-06-19T16:11:26.768+03:00
6,10.215.173.1,50920,34.49.191.111,443,10340,Ditto,com.ditto.mobile,HTTPS,Closed,abt-online.netease.im,1701,6472,12,11,2026-06-19T16:10:09.351+03:00,2026-06-19T16:10:12.596+03:00
17,10.215.173.1,10350,10.215.173.2,53,10340,Ditto,com.ditto.mobile,DNS,Closed,wannos.127.net,60,271,1,1,2026-06-19T16:10:09.696+03:00,2026-06-19T16:10:09.976+03:00
