| column_name                 | data_type                |
| --------------------------- | ------------------------ |
| instance_id                 | uuid                     |
| id                          | uuid                     |
| name                        | text                     |
| id                          | uuid                     |
| aud                         | character varying        |
| email                       | text                     |
| role                        | character varying        |
| phone                       | text                     |
| agency_id                   | uuid                     |
| email                       | character varying        |
| encrypted_password          | character varying        |
| status                      | text                     |
| created_at                  | timestamp with time zone |
| email_confirmed_at          | timestamp with time zone |
| full_name                   | text                     |
| invited_at                  | timestamp with time zone |
| confirmation_token          | character varying        |
| role                        | text                     |
| confirmation_sent_at        | timestamp with time zone |
| avatar_url                  | text                     |
| recovery_token              | character varying        |
| device_fingerprint          | text                     |
| ip_address                  | text                     |
| recovery_sent_at            | timestamp with time zone |
| approved_by                 | uuid                     |
| email_change_token_new      | character varying        |
| updated_at                  | timestamp with time zone |
| email_change                | character varying        |
| email_change_sent_at        | timestamp with time zone |
| last_sign_in_at             | timestamp with time zone |
| raw_app_meta_data           | jsonb                    |
| raw_user_meta_data          | jsonb                    |
| is_super_admin              | boolean                  |
| created_at                  | timestamp with time zone |
| updated_at                  | timestamp with time zone |
| phone                       | text                     |
| phone_confirmed_at          | timestamp with time zone |
| phone_change                | text                     |
| phone_change_token          | character varying        |
| phone_change_sent_at        | timestamp with time zone |
| confirmed_at                | timestamp with time zone |
| email_change_token_current  | character varying        |
| email_change_confirm_status | smallint                 |
| banned_until                | timestamp with time zone |
| reauthentication_token      | character varying        |
| reauthentication_sent_at    | timestamp with time zone |
| is_sso_user                 | boolean                  |
| deleted_at                  | timestamp with time zone |
| is_anonymous                | boolean                  |
